Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12584,2012-10-22,-0.029055666,0.0146963559,0.0131762967,21,100
Market-Adjusted Model,12585,2012-10-22,-0.117581661,-0.06817802,-0.075349698,21,100
Market-Adjusted Model,12586,2012-10-22,0.1075268394,0.1907203597,0.1497588025,21,100
Market-Adjusted Model,12587,2012-10-22,-0.121304842,-0.084725791,-0.079072879,21,100
Market-Adjusted Model,12588,2012-10-22,0.1895522515,0.2355640556,0.2317842145,21,100
Market-Adjusted Model,12591,2012-10-22,-0.019674353,0.0259913936,0.0225576096,21,100
Market-Adjusted Model,12592,2012-10-22,-0.167785236,-0.130459712,-0.125553273,21,100
Market-Adjusted Model,12593,2012-10-22,-0.061611424,-0.019378541,-0.019379461,21,100
Market-Adjusted Model,12594,2012-10-22,-0.00759763,0.0348492701,0.0346343328,21,100
Market-Adjusted Model,12595,2012-10-22,-0.005759287,0.036555392,0.036472676,21,100
Market-Adjusted Model,12596,2012-10-22,-0.029054832,0.0136209065,0.0131771307,21,100
Market-Adjusted Model,12615,2012-10-22,-0.072933597,-0.031994033,-0.030701634,21,100
