,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
56410,028781,P,01,LU,79526.0,12372.0,1993-08-24,2000-09-29
56413,028782,P,01,LU,79466.0,12373.0,1993-08-25,1996-11-29
56415,028783,P,01,LU,79492.0,12374.0,1993-08-25,1999-03-31
56418,028784,C,00X,LU,79538.0,12377.0,1993-08-25,1993-08-30
56419,028784,C,90,LU,79538.0,12377.0,1993-08-31,1998-07-10
56421,028785,P,01,LU,79491.0,12378.0,1993-08-25,
56424,028786,C,01,LC,79639.0,29970.0,1993-09-09,1998-06-16
56426,028787,P,02,LC,15724.0,55428.0,2015-10-01,
56427,028787,P,01,LC,79517.0,12375.0,1993-08-25,2008-05-23
56430,028788,C,01,LC,64822.0,3737.0,2016-10-27,2020-04-15
56433,028790,P,01,LC,16431.0,55778.0,2016-11-10,
56435,028791,P,01,LU,81103.0,13414.0,1994-11-08,
56439,028794,P,01,LU,79429.0,12306.0,1993-07-23,1998-04-30
56441,028795,P,01,LC,79516.0,12379.0,1993-08-26,2019-04-30
56445,028797,P,01,LU,79527.0,12380.0,1993-08-26,1995-12-29
56448,028799,P,01,LC,79539.0,12381.0,1993-08-27,1996-03-29
56449,028800,P,01,LU,79561.0,29947.0,1993-08-27,
56452,028801,C,01,LU,79513.0,12382.0,1993-08-27,1997-08-20
56456,028805,P,01,LU,79489.0,12383.0,1993-08-31,1999-07-30
56459,028806,C,01,LC,80069.0,12204.0,1993-12-14,1994-07-20
56460,028806,C,01,LC,80069.0,12204.0,2004-09-03,
56469,028811,P,01,LU,79623.0,12387.0,1993-09-01,1998-04-16
56481,028816,P,01,LC,79597.0,12389.0,1993-09-03,1997-08-27
56485,028817,C,01,LC,79596.0,12391.0,1993-09-03,1995-12-19
56486,028817,C,01,LC,85207.0,15566.0,1997-07-01,2002-08-21
56491,028819,P,01,LU,79586.0,12390.0,1993-09-07,
56494,028822,P,01,LU,79577.0,12395.0,1993-09-09,2005-12-30
56497,028826,C,01,LU,79642.0,29980.0,1993-09-09,2003-08-08
56500,028828,C,01,LU,79563.0,12396.0,1993-09-10,2001-04-04
56504,028830,P,01,LU,82850.0,14284.0,1996-01-10,1998-11-13
56508,028832,P,01,LU,79531.0,12343.0,1993-08-13,2001-02-12
56511,028833,P,01,LC,18422.0,33864.0,2019-03-08,2021-11-30
56514,028834,P,90,LC,79836.0,12614.0,1993-11-26,2004-08-16
56515,028834,P,90,LC,90320.0,12614.0,2004-08-17,2008-07-16
56518,028836,P,01,LU,79867.0,12523.0,1993-11-01,2003-11-11
56520,028837,P,01,LU,79630.0,12398.0,1993-09-13,1999-05-28
56522,028838,P,90,LC,89154.0,42125.0,2001-09-25,2023-06-30
56525,028840,P,01,LU,80299.0,12218.0,1994-02-25,1997-01-31
56528,028842,P,01,LU,83697.0,12153.0,1996-06-12,1997-09-30
56530,028843,P,01,LU,79643.0,29954.0,1993-09-14,2014-09-30
56532,028844,P,90,LU,79644.0,29958.0,1993-09-14,
56535,028845,P,01,LU,79598.0,12402.0,1993-09-14,1998-10-06
56538,028847,P,01,LC,79609.0,12399.0,1993-09-13,1996-06-26
56540,028848,P,01,LU,79616.0,12403.0,1993-09-15,2000-06-30
56541,028849,P,01,LU,79650.0,29982.0,1993-09-15,2001-05-31
56544,028851,P,01,LU,81239.0,13570.0,1995-02-14,2003-06-30
56548,028852,P,01,LC,92178.0,52525.0,2007-07-23,2013-06-06
56551,028853,P,01,LC,79564.0,12407.0,1993-09-17,
56553,028854,P,01,LU,79646.0,29959.0,1993-09-17,
56564,028858,P,01,LC,79617.0,12408.0,1993-09-17,2008-12-01
56574,028865,P,01,LU,79579.0,12411.0,1993-10-05,1994-10-31
56576,028866,P,01,LU,79571.0,12412.0,1993-09-20,
56580,028869,P,01,LU,79440.0,29912.0,1993-07-01,1996-12-31
56582,028870,P,01,LU,79441.0,29913.0,1993-07-01,1996-12-31
56585,028875,P,01,LC,79572.0,12414.0,1993-09-21,1996-01-26
56587,028876,P,01,LU,79652.0,29962.0,1993-09-21,1996-03-29
56590,028877,P,02,LC,17942.0,56438.0,2018-07-10,
56591,028877,P,01,LC,79588.0,12415.0,1993-09-21,2016-03-02
56596,028881,P,01,LC,79612.0,12413.0,1993-09-21,2008-06-18
56600,028883,P,90,LC,79663.0,29979.0,1993-09-21,
56604,028884,P,01,LC,79568.0,12417.0,1993-09-22,2009-04-29
56609,028885,C,01,LC,86355.0,16274.0,1998-09-04,1999-12-20
56610,028885,C,01,LC,86355.0,16274.0,2002-02-01,2006-05-26
56616,028888,C,90,LC,79655.0,29965.0,1993-09-22,2001-05-02
56619,028890,P,01,LC,17211.0,56202.0,2010-05-29,2012-08-24
56620,028890,P,01,LC,79656.0,29966.0,1993-09-22,1998-12-18
56621,028890,P,01,LC,86477.0,34961.0,1998-12-21,2010-05-28
56625,028891,P,01,LC,17207.0,56200.0,2010-05-29,2012-08-24
56626,028891,P,01,LC,79657.0,29967.0,1993-09-22,1998-12-18
56627,028891,P,01,LC,86475.0,34961.0,1998-12-21,2010-05-28
56630,028892,P,01,LC,17210.0,56201.0,2010-05-29,2012-10-12
56631,028892,P,01,LC,79658.0,29968.0,1993-09-22,1998-12-18
56632,028892,P,01,LC,86476.0,34961.0,1998-12-21,2010-05-28
56636,028893,P,01,LU,79603.0,12419.0,1993-09-22,1996-06-28
56638,028894,P,01,LU,80108.0,12420.0,1993-09-22,1998-08-31
56640,028895,P,01,LU,79662.0,29976.0,1993-09-22,2003-05-30
56644,028898,P,01,LU,79566.0,12426.0,1993-09-23,1995-04-28
56647,028899,C,01,LU,79570.0,12423.0,1993-09-23,1995-05-24
56649,028900,P,01,LC,79654.0,29960.0,1993-09-23,
56658,028903,P,03,LC,23469.0,59424.0,2022-10-13,
56661,028904,P,01,LU,79592.0,12424.0,1993-09-23,2000-12-29
56664,028905,P,01,LU,79594.0,12422.0,1993-09-23,1996-09-30
